"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,
Amount.............................................................................,"339,610","4,819","15,231","86,133","113,559","49,661","46,044","24,163",,,
Total statutory adjustments:  Number..................................,"110,350","31,103","16,257","25,180","17,206","7,768","8,068","4,768",,,
Amount.............................................................................,"280,346","36,994","27,154","48,902","42,461","27,892","47,239","49,704",,,
Self-employment retirement plans [6]:  Number...............,"5,107",269,290,666,991,766,"1,285",840,,,
Amount.........................................................................,"45,735",686,983,"2,780","4,827","5,321","14,872","16,266",,,
Total itemized deductions [7]:Number...................................,"235,700","24,480","27,512","64,088","61,959","28,596","21,109","7,956",,,
Amount.................................................................................,"3,816,568","311,913","278,500","718,688","827,418","478,519","487,402","714,128",,,
Medical and dental expense:  Number.................................,"36,109","11,000","7,153","9,954","5,533","1,643",748,78,,,
Amount.............................................................................,"166,559","65,335","26,308","35,958","21,253","8,818","6,991","1,896",,,
Taxes paid:  Number............................................................,"228,782","22,586","26,222","62,109","60,865","28,256","20,858","7,886",,,
Amount.............................................................................,"526,798","32,954","30,712","81,822","99,813","60,999","71,869","148,629",,,
Interest paid:  Number..........................................................,"214,000","20,154","23,807","58,199","58,141","27,019","19,551","7,129",,,
Amount.............................................................................,"2,041,999","164,927","159,447","428,261","491,162","265,316","253,520","279,366",,,
Contributions:  Number........................................................,"201,604","16,173","22,130","54,256","55,394","26,548","19,704","7,399",,,
Amount.............................................................................,"561,317","14,440","22,553","66,734","88,588","56,896","65,063","247,043",,,
Taxable income:  Number........................................................,"666,928","206,426","132,682","157,934","97,745","36,636","25,337","10,168",,,
Amount.................................................................................,"23,143,264","1,099,524","1,839,430","4,026,110","4,217,972","2,347,992","2,636,896","6,975,340",,,
Total tax credits [8]:Number..................................................,"55,011","8,178","8,462","13,491","12,415","5,625","4,123","2,717",,,
Amount.................................................................................,"47,811","2,795","3,997","6,374","6,167","3,185","3,631","21,662",,,
Child care credit:  Number...................................................,"42,595","5,959","7,625","11,894","10,509","4,294","1,988",326,,,
Amount.............................................................................,"20,000","2,433","3,757","5,601","4,979","2,107",956,167,,,
Earned income credit [9]:Number.........................................,"117,550","94,769","22,781",--,--,--,--,0,,,
Amount.................................................................................,"161,108","144,190","16,919",--,--,--,--,-1,,,
Excess earned income credit (refundable) [10]:,,,,,,,,0,,,
Number............................................................................,"89,924","82,681","7,243",--,--,--,--,0,,,
